HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	uedin-nmt.5017	0	SYSTEM	524	-1.02982240550973	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	jhu-pbmt.4980	1	SYSTEM	1143	-0.0751999500124964	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	C-3MA.5067	2	SYSTEM	370	-2.50514801855092	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	tilde-nc-nmt-smt-hybrid.5050	3	SYSTEM	1416	-0.161983809603154	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	tilde-nc-nmt-smt-hybrid.5050	4	REF	1091	0.87942250548474	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	C-3MA.5067	5	SYSTEM	586	0.445503207531451	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	uedin-nmt.5017	6	SYSTEM	955	-0.248767669193812	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	tilde-nc-nmt-smt-hybrid.5050	7	BAD_REF	501	0.619070926712767	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	C-3MA.5067	8	REPEAT	577	-0.422335388375128	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	tilde-nc-nmt-smt-hybrid.5050	9	SYSTEM	1464	-0.248767669193812	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	jhu-pbmt.4980	10	SYSTEM	905	0.0115839095781615	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	jhu-pbmt.4980	11	SYSTEM	113	-0.509119247965786	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	uedin-nmt.5017	12	SYSTEM	442	-0.856254686328417	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	tilde-nc-nmt-smt-hybrid.5050	13	SYSTEM	754	-0.856254686328417	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	uedin-nmt.5017	14	REF	1290	0.966206365075398	423
34ZTTGSNJYT2GCIPATVH33AC0XXHQ7	M1055	lv	en	ad	0	tilde-c-nmt-smt-hybrid.5051	15	SYSTEM	742	0.792638645894083	423
