HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	0	BAD_REF	2464	-0.619378750237161	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	1	SYSTEM	2524	1.37776953224159	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	2	SYSTEM	62	1.48288259974048	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	3	SYSTEM	1701	-0.855883152109646	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	4	SYSTEM	2684	-0.51426568273828	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	5	SYSTEM	2108	-0.987274486483248	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	6	SYSTEM	1710	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	7	REF	751	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	8	REPEAT	1082	-0.251483013991075	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	9	SYSTEM	921	-0.251483013991075	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	10	SYSTEM	376	1.00987379599551	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902	11	SYSTEM	2134	-0.671935283986602	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-B.0	12	SYSTEM	946	0.484308458501098	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	13	SYSTEM	835	-0.356596081489957	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	14	REPEAT	1157	-0.356596081489957	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	15	SYSTEM	118	-0.698213550861323	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-G.0	16	BAD_REF	902	-0.829604885234925	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-G.0	17	REF	1546	1.6405522009888	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	18	SYSTEM	1054	-0.409152615239398	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	19	SYSTEM	2499	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902	20	SYSTEM	827	0.116412722255012	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	21	SYSTEM	1875	-0.777048351485484	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902	22	SYSTEM	1283	-0.777048351485484	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	23	REF	1827	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902+afrl-mitll-m2w-nr1.4901	24	BAD_REF	625	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902+afrl-mitll-m2w-nr1.4901	25	SYSTEM	2007	0.825925927872464	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	26	SYSTEM	2554	-0.198926480241634	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-B.0	27	SYSTEM	2856	-0.593100483362441	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	28	SYSTEM	1633	-0.645657017111882	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	29	REPEAT	2762	-0.645657017111882	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	30	REF	803	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	31	REPEAT	1299	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	32	SYSTEM	2904	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902	33	SYSTEM	734	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	34	BAD_REF	84	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-G.0	35	SYSTEM	2475	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	36	SYSTEM	939	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-G.0	37	SYSTEM	990	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	38	SYSTEM	2102	-0.882161418984366	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	39	SYSTEM	1154	-0.882161418984366	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-B.0	40	SYSTEM	498	0.56314325912526	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	41	REF	2592	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	42	SYSTEM	573	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	43	SYSTEM	776	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	44	REPEAT	2615	0.668256326624141	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-B.0	45	SYSTEM	1537	1.5091608666152	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	46	SYSTEM	2292	-0.487987415863559	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	47	SYSTEM	2696	-0.487987415863559	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	48	BAD_REF	2703	-0.829604885234925	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	49	SYSTEM	42	1.56171740036464	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	50	SYSTEM	2464	-0.777048351485484	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	51	SYSTEM	1869	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	52	SYSTEM	1082	-0.0412568789933111	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	53	SYSTEM	2489	-0.829604885234925	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	54	BAD_REF	62	-0.829604885234925	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	55	SYSTEM	2455	-0.829604885234925	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	56	REF	2108	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	57	REPEAT	2684	-0.330317814615236	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902	58	SYSTEM	1430	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	59	SYSTEM	751	-0.671935283986602	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	60	REPEAT	118	-0.829604885234925	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	61	SYSTEM	231	0.773369394123023	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	62	SYSTEM	2872	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902	63	SYSTEM	1861	-0.356596081489957	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	64	BAD_REF	2499	-0.356596081489957	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	65	REF	1054	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-G.0	66	SYSTEM	1546	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-G.0	67	SYSTEM	902	-0.987274486483248	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-B.0	68	SYSTEM	1273	-0.671935283986602	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	69	SYSTEM	1157	-0.671935283986602	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	70	SYSTEM	1474	1.00987379599551	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	71	SYSTEM	2828	0.6156997928747	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	72	SYSTEM	2762	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	jhu-pbmt.4972	73	SYSTEM	1827	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-B.0	74	BAD_REF	2856	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	75	REPEAT	1633	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	76	REF	1875	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	77	SYSTEM	611	-0.803326618360205	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	78	SYSTEM	2909	-0.855883152109646	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-syscomb.4902+afrl-mitll-m2w-nr1.4901	79	SYSTEM	625	1.03615206287023	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	80	SYSTEM	1299	0.352917124127496	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	81	SYSTEM	2284	0.352917124127496	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	82	SYSTEM	84	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	83	REPEAT	2102	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-G.0	84	REF	2475	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	85	SYSTEM	2384	-0.934717952733807	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-B.0	86	SYSTEM	617	0.983595529120787	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	87	SYSTEM	803	0.983595529120787	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	88	SYSTEM	462	-0.51426568273828	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-G.0	89	BAD_REF	990	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	90	BAD_REF	573	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	PROMT-SMT.4737	91	SYSTEM	2592	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	92	SYSTEM	499	-0.960996219608527	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	online-A.0	93	SYSTEM	2568	-0.356596081489957	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	JAIST.4859	94	SYSTEM	2615	-0.356596081489957	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	95	SYSTEM	2703	0.747091127248303	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	96	SYSTEM	2615	0.405473657876937	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	uedin-nmt.4931	97	REPEAT	42	1.61427393411408	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	LIUM-NMT.4888	98	REF	2292	1.6405522009888	1647
3LN3BXKGC10T0DJ02WC5ASGX9ZDWG5	M0178	tr	en	ad	0	afrl-mitll-m2w-nr1.4901	99	SYSTEM	2830	0.668256326624141	1647
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-B.0	0	REF	1019	1.42115515151946	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-G.0	1	SYSTEM	2546	-0.0359335851846061	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-B.0	2	REPEAT	2536	1.10130640443808	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	JAIST.4859	3	SYSTEM	1186	-0.56901483032024	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-G.0	4	SYSTEM	1584	-0.56901483032024	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-B.0	5	SYSTEM	2629	0.10622141351823	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	PROMT-SMT.4737	6	SYSTEM	666	-0.497937330968822	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	PROMT-SMT.4737+uedin-nmt.4931+online-A.0+online-G.0	7	SYSTEM	1774	1.42115515151946	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-A.0	8	SYSTEM	80	0.639302658653863	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	afrl-mitll-m2w-nr1.4901	9	BAD_REF	1763	-0.924402327077329	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-A.0	10	SYSTEM	2795	1.35007765216804	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	PROMT-SMT.4737	11	REPEAT	1098	0.568225159302445	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	afrl-mitll-m2w-nr1.4901	12	REF	2748	1.42115515151946	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	LIUM-NMT.4888	13	SYSTEM	1106	-1.9905648173486	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	jhu-pbmt.4972	14	SYSTEM	1631	-1.31532857351013	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-A.0	15	SYSTEM	697	0.461608910275319	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-A.0	16	SYSTEM	762	0.177298912869647	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	jhu-pbmt.4972+JAIST.4859	17	SYSTEM	2344	-1.95502606767289	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	uedin-nmt.4931	18	BAD_REF	1966	-1.56409982124009	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	PROMT-SMT.4737	19	SYSTEM	488	0.674841408329572	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	jhu-pbmt.4972	20	SYSTEM	1964	0.248376412221065	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	PROMT-SMT.4737	21	SYSTEM	1287	0.568225159302445	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	afrl-mitll-syscomb.4902	22	SYSTEM	467	-0.355782332265986	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	LIUM-NMT.4888	23	REPEAT	1403	-0.604553579995949	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	online-A.0	24	REF	688	1.42115515151946	954
3XAOZ9UYR0WRC1XB84SWBGU5J9E1Q7	M1264	tr	en	ad	1	uedin-nmt.4931	25	SYSTEM	2121	0.497147659951027	954
