HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	engest5602	en	et	ad	NA	parfda.5779	NA	SYSTEM	1642	-1.13092656222388	6.17299985886
NA	engest5602	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	706	0.962195230253863	11.5020000935
NA	engest5602	en	et	ad	NA	CUNI-Kocmi.5616	NA	BAD_REF	298	-0.353481325017859	7.38099980354
NA	engest5602	en	et	ad	NA	tilde-c-nmt.5565	NA	SYSTEM	712	-0.65249872394325	13.1229999065
NA	engest5602	en	et	ad	NA	Aalto.5551	NA	SYSTEM	1869	0.334258692510541	10.3439998627
NA	engest5602	en	et	ad	NA	parfda.5779	NA	SYSTEM	1512	-0.65249872394325	29.1850001812
NA	engest5602	en	et	ad	NA	online-G.0	NA	SYSTEM	96	-0.712302203728328	6.71999979019
NA	engest5602	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	1269	-0.592695244158172	8.2650001049
NA	engest5602	en	et	ad	NA	NICT.5500	NA	SYSTEM	740	-0.502990024480554	10.3650000095
NA	engest5602	en	et	ad	NA	online-G.0	NA	SYSTEM	244	-0.263776105340241	9.46399998665
NA	engest5602	en	et	ad	NA	online-B.0	NA	SYSTEM	210	-0.802007423405946	9.21199989319
NA	engest5602	en	et	ad	NA	Aalto.5551	NA	SYSTEM	1992	1.73964046745988	9.10700011253
NA	engest5602	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	1992	1.73964046745988	9.10700011253
NA	engest5602	en	et	ad	NA	M4t1ss.5723	NA	SYSTEM	1992	1.73964046745988	9.10700011253
NA	engest5602	en	et	ad	NA	NICT.5500	NA	SYSTEM	1992	1.73964046745988	9.10700011253
NA	engest5602	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	1992	1.73964046745988	9.10700011253
NA	engest5602	en	et	ad	NA	tilde-c-nmt.5565	NA	SYSTEM	1992	1.73964046745988	9.10700011253
NA	engest5602	en	et	ad	NA	tilde-nc-nmt.5449	NA	SYSTEM	1992	1.73964046745988	9.10700011253
NA	engest5602	en	et	ad	NA	uedin.5563	NA	SYSTEM	1992	1.73964046745988	9.10700011253
NA	engest5602	en	et	ad	NA	parfda.5779	NA	SYSTEM	383	-0.353481325017859	7.99699997902
NA	engest5602	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	361	0.184749993047846	21.2490000725
NA	engest5602	en	et	ad	NA	CUNI-Kocmi.5616	NA	SYSTEM	298	-0.0245621861999284	15.9010000229
NA	engest5602	en	et	ad	NA	REFERENCE	NA	REF	1473	1.76954220735242	15.0980000496
NA	engest5602	en	et	ad	NA	REFERENCE	NA	REF	1504	-0.383383064910398	21.8150000572
NA	engest5602	en	et	ad	NA	M4t1ss.5723	NA	SYSTEM	150	1.38081958874941	21.7099997997
NA	engest5602	en	et	ad	NA	uedin.5563	NA	SYSTEM	1481	0.244553472832924	11.998000145
NA	engest5602	en	et	ad	NA	online-B.0	NA	SYSTEM	745	-0.413284804802937	9.34000015259
NA	engest5602	en	et	ad	NA	online-B.0	NA	BAD_REF	1801	-0.562793504265633	14.1349999905
NA	engest5602	en	et	ad	NA	CUNI-Kocmi.5616	NA	SYSTEM	399	0.244553472832924	11.5320000648
NA	engest5602	en	et	ad	NA	online-A.0	NA	SYSTEM	148	1.17150740950164	10.9270000458
NA	engest5602	en	et	ad	NA	tilde-c-nmt.5565	NA	SYSTEM	150	1.20140914939418	18.0029997826
NA	engest5602	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	311	0.72298131111355	11.121999979
NA	engest5602	en	et	ad	NA	tilde-c-nmt.5565	NA	SYSTEM	311	0.72298131111355	11.121999979
NA	engest5602	en	et	ad	NA	uedin.5563	NA	SYSTEM	311	0.72298131111355	11.121999979
NA	engest5605	en	et	ad	NA	REFERENCE	NA	REF	1306	1.47931148897982	23.9880001545
NA	engest5605	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	976	-0.858738736318675	13.0550000668
NA	engest5605	en	et	ad	NA	parfda.5779	NA	SYSTEM	132	-1.00797598474198	12.5759999752
NA	engest5605	en	et	ad	NA	HY-NMT-en-et.5469	NA	BAD_REF	763	-1.00797598474198	9.33200001717
NA	engest5605	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	290	-0.933357360530329	31.8220000267
NA	engest5605	en	et	ad	NA	NICT.5500	NA	SYSTEM	1953	-0.137425368939351	40.6549999714
NA	engest5605	en	et	ad	NA	NICT.5500	NA	SYSTEM	1142	1.47931148897982	14.8759999275
NA	engest5605	en	et	ad	NA	parfda.5779	NA	SYSTEM	560	-0.883611611055893	19.364000082
NA	engest5605	en	et	ad	NA	NICT.5500	NA	SYSTEM	643	0.932108244761026	38.1349999905
NA	engest5605	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	372	-1.00797598474198	15.1000001431
NA	engest5605	en	et	ad	NA	M4t1ss.5723	NA	SYSTEM	292	-0.883611611055893	22.5009999275
NA	engest5605	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	481	0.161049127907266	196.140999794
NA	engest5605	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	170	0.0615576289583937	195.414000034
NA	engest5605	en	et	ad	NA	Aalto.5551	NA	SYSTEM	216	1.0315997437099	29.8570001125
NA	engest5605	en	et	ad	NA	online-G.0	NA	SYSTEM	967	-0.485645615260404	23.0540001392
NA	engest5605	en	et	ad	NA	uedin.5563	NA	REPEAT	834	-1.00797598474198	18.8880000114
NA	engest5605	en	et	ad	NA	online-B.0	NA	SYSTEM	1196	-1.00797598474198	17.3910000324
NA	engest5605	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	763	-0.908484485793111	22.8209998608
NA	engest5605	en	et	ad	NA	M4t1ss.5723	NA	SYSTEM	1488	-0.933357360530329	255.681999922
NA	engest5605	en	et	ad	NA	tilde-nc-nmt.5449	NA	SYSTEM	787	-0.983103110004766	33.7160000801
NA	engest5605	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	721	1.45443861424261	18.3959999084
NA	engest5605	en	et	ad	NA	tilde-nc-nmt.5449	NA	SYSTEM	1049	-0.958230235267548	40.3210000992
NA	engest5605	en	et	ad	NA	tilde-nc-nmt.5449	NA	SYSTEM	946	1.45443861424261	29.2460000515
NA	engest5605	en	et	ad	NA	tilde-c-nmt.5565	NA	REPEAT	602	0.360032125805011	39.0199999809
NA	engest5605	en	et	ad	NA	NICT.5500	NA	SYSTEM	1189	-0.983103110004766	15.0620000362
NA	engest5605	en	et	ad	NA	CUNI-Kocmi.5616	NA	BAD_REF	218	-0.983103110004766	98.4779999256
NA	engest5606	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	1191	0.271028465745091	26.9539999962
NA	engest5606	en	et	ad	NA	parfda.5779	NA	SYSTEM	891	-1.63379126390146	36.8729999065
NA	engest5606	en	et	ad	NA	NICT.5500	NA	REPEAT	1081	-1.39568879769564	12.4560000896
NA	engest5606	en	et	ad	NA	NICT.5500	NA	SYSTEM	780	-0.740907015629641	16.6770000458
NA	engest5606	en	et	ad	NA	uedin.5563	NA	BAD_REF	1801	-0.919483865284006	18.2590000629
NA	engest5606	en	et	ad	NA	Aalto.5551	NA	SYSTEM	204	-0.621855782526732	17.2020001411
NA	engest5606	en	et	ad	NA	tilde-nc-nmt.5449	NA	SYSTEM	352	0.181740040917909	16.8510000706
NA	engest5606	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	1257	-1.63379126390146	6.16600012779
NA	engest5606	en	et	ad	NA	CUNI-Kocmi.5616	NA	SYSTEM	1644	-0.0563624252879106	17.9560000896
NA	engest5606	en	et	ad	NA	online-B.0	NA	BAD_REF	734	-1.63379126390146	8.67899990082
NA	engest5606	en	et	ad	NA	uedin.5563	NA	SYSTEM	249	-0.562330165975277	15.1380000114
NA	engest5606	en	et	ad	NA	online-A.0	NA	SYSTEM	1513	-1.36592598941992	12.2359998226
NA	engest5606	en	et	ad	NA	parfda.5779	NA	SYSTEM	87	-1.57426564735001	17.6929998398
NA	engest5606	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	1610	-0.145650850115093	16.9389998913
NA	engest5606	en	et	ad	NA	M4t1ss.5723	NA	SYSTEM	1228	0.181740040917909	20.853000164
NA	engest5606	en	et	ad	NA	uedin.5563	NA	SYSTEM	1228	0.181740040917909	20.853000164
NA	engest5606	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	684	-0.919483865284006	8.42500019073
NA	engest5606	en	et	ad	NA	tilde-nc-nmt.5449	NA	SYSTEM	310	-0.205176466666548	12.1900000572
NA	engest5606	en	et	ad	NA	parfda.5779	NA	SYSTEM	523	-1.63379126390146	13.7490000725
NA	engest5606	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	762	-0.383753316320912	8.29100012779
NA	engest5606	en	et	ad	NA	uedin.5563	NA	SYSTEM	1801	0.538893740226638	12.7079999447
NA	engest5606	en	et	ad	NA	tilde-nc-nmt.5449	NA	SYSTEM	592	0.479368123675183	22.378000021
NA	engest5606	en	et	ad	NA	parfda.5779	NA	SYSTEM	1759	1.31272675539555	9.54600000381
NA	engest5606	en	et	ad	NA	tilde-c-nmt.5565	NA	SYSTEM	1557	0.657944973329547	22.3720002174
NA	engest5606	en	et	ad	NA	tilde-c-nmt.5565	NA	SYSTEM	278	-0.473041741148094	15.861000061
NA	engest5606	en	et	ad	NA	online-G.0	NA	SYSTEM	631	-1.4552144142471	5.78600001335
NA	engest5606	en	et	ad	NA	M4t1ss.5723	NA	SYSTEM	1569	0.151977232642181	5.53200006485
NA	engest5606	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	1569	0.151977232642181	5.53200006485
NA	engest5607	en	et	ad	NA	Aalto.5551	NA	SYSTEM	1774	-0.382807701045936	29.3239998817
NA	engest5607	en	et	ad	NA	online-A.0	NA	SYSTEM	1614	0.248287628007169	9.73000001907
NA	engest5607	en	et	ad	NA	CUNI-Kocmi.5616	NA	SYSTEM	1722	-0.929756986225293	11.8339998722
NA	engest5607	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	706	0.458652737691537	9.81599998474
NA	engest5607	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	1616	0.0379225183228008	20.1500000954
NA	engest5607	en	et	ad	NA	M4t1ss.5723	NA	SYSTEM	1280	0.458652737691537	11.7079999447
NA	engest5607	en	et	ad	NA	Aalto.5551	NA	SYSTEM	1932	1.38425922030276	8.08200001717
NA	engest5607	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	1932	1.38425922030276	8.08200001717
NA	engest5607	en	et	ad	NA	M4t1ss.5723	NA	SYSTEM	1932	1.38425922030276	8.08200001717
NA	engest5607	en	et	ad	NA	online-B.0	NA	SYSTEM	1932	1.38425922030276	8.08200001717
NA	engest5607	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	1932	1.38425922030276	8.08200001717
NA	engest5607	en	et	ad	NA	tilde-nc-nmt.5449	NA	SYSTEM	1932	1.38425922030276	8.08200001717
NA	engest5607	en	et	ad	NA	uedin.5563	NA	SYSTEM	1932	1.38425922030276	8.08200001717
NA	engest5602	en	et	ad	NA	HY-NMT-en-et.5469	NA	SYSTEM	165	-0.174070885662624	5.75999999046
NA	engest5607	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	106	1.00560202287089	405.24000001
NA	engest5607	en	et	ad	NA	neurotolge.ee.5399	NA	SYSTEM	1517	-1.30841418365716	20.513999939
NA	engest5607	en	et	ad	NA	online-B.0	NA	SYSTEM	1969	-0.761464898477798	51.1870000362
NA	engest5607	en	et	ad	NA	Aalto.5551	NA	SYSTEM	752	0.963529000934021	40.9440000057
NA	engest5607	en	et	ad	NA	NICT.5500	NA	SYSTEM	1351	-1.85536346883651	51.746999979
NA	engest5607	en	et	ad	NA	CUNI-Kocmi.5616	NA	SYSTEM	766	-0.509026766856556	38.2550001144
NA	engest5607	en	et	ad	NA	tilde-c-nmt.5565	NA	SYSTEM	187	-1.3925602275309	41.1549999714
NA	engest5607	en	et	ad	NA	Aalto.5551	NA	BAD_REF	1774	-1.85536346883651	35.6410000324
NA	engest5607	en	et	ad	NA	talp-upc.5422	NA	SYSTEM	1541	-0.172442591361567	14.9159998894
