HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	fineng5607	fi	en	ad	NA	online-A.0	NA	BAD_REF	328	-0.8007351326186	9.50200009346
NA	fineng5605	fi	en	ad	NA	CUNI-Kocmi.5619	NA	BAD_REF	1885	-0.439288365289736	20.7320001125
NA	fineng5605	fi	en	ad	NA	CUNI-Kocmi.5619	NA	SYSTEM	2049	1.34153876415454	12.1679999828
NA	fineng5605	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	658	0.734438606389446	31.8439998627
NA	fineng5605	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	SYSTEM	2190	1.50343213955857	19.3380000591
NA	fineng5605	fi	en	ad	NA	uedin.5631	NA	SYSTEM	76	-0.236921646034705	25.3189997673
NA	fineng5605	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	931	-1.53206864926691	26.6540000439
NA	fineng5605	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	960	0.370178511730389	35.503000021
NA	fineng5605	fi	en	ad	NA	online-A.0	NA	SYSTEM	479	0.329705167879383	35.378000021
NA	fineng5605	fi	en	ad	NA	NICT.5515	NA	SYSTEM	85	1.78674554651561	34.1720001698
NA	fineng5605	fi	en	ad	NA	NICT.5515	NA	SYSTEM	2172	-1.61301533696892	14.125
NA	fineng5605	fi	en	ad	NA	online-G.0	NA	SYSTEM	1359	-0.39881502143873	18.5989999771
NA	fineng5605	fi	en	ad	NA	online-B.0	NA	SYSTEM	14	1.26059207645253	26.2359998226
NA	fineng5605	fi	en	ad	NA	CUNI-Kocmi.5619	NA	SYSTEM	2998	0.046391760922339	28.6150000095
NA	fineng5605	fi	en	ad	NA	online-A.0	NA	REPEAT	460	0.167811792475358	26.4319999218
NA	fineng5605	fi	en	ad	NA	online-G.0	NA	SYSTEM	1943	-0.439288365289736	23.8279998302
NA	fineng5605	fi	en	ad	NA	online-A.0	NA	SYSTEM	292	0.896331981793471	49.6499998569
NA	fineng5606	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	SYSTEM	2193	-0.0208372677467763	23.6080000401
NA	fineng5606	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	SYSTEM	2212	-0.573574375844651	58.9259998798
NA	fineng5606	fi	en	ad	NA	online-A.0	NA	SYSTEM	1506	-0.38932867314536	34.5160000324
NA	fineng5606	fi	en	ad	NA	online-G.0	NA	SYSTEM	627	-0.481451524495006	15.8679997921
NA	fineng5606	fi	en	ad	NA	NICT.5515	NA	SYSTEM	2564	-0.435390098820183	12.9930000305
NA	fineng5606	fi	en	ad	NA	online-B.0	NA	SYSTEM	778	0.577961266025922	11.7620000839
NA	fineng5606	fi	en	ad	NA	online-G.0	NA	SYSTEM	2704	0.117347009277692	15.5880000591
NA	fineng5606	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	BAD_REF	2551	-0.665697227194297	18.2000000477
NA	fineng5606	fi	en	ad	NA	CUNI-Kocmi.5619	NA	SYSTEM	1782	-0.112960119096422	16.2569999695
NA	fineng5606	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	SYSTEM	1782	-0.112960119096422	16.2569999695
NA	fineng5606	fi	en	ad	NA	uedin.5631	NA	SYSTEM	1782	-0.112960119096422	16.2569999695
NA	fineng5606	fi	en	ad	NA	uedin.5631	NA	SYSTEM	2414	-0.205082970446068	21.0450000763
NA	fineng5606	fi	en	ad	NA	online-A.0	NA	SYSTEM	1737	-0.0208372677467763	31.9130001068
NA	fineng5606	fi	en	ad	NA	uedin.5631	NA	SYSTEM	1157	0.39371556332663	18.1449999809
NA	fineng5606	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	2954	-0.159021544771245	17.5390000343
NA	fineng5606	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	460	0.71614554305039	20.2730000019
NA	fineng5606	fi	en	ad	NA	REFERENCE	NA	REF	2704	1.72949690789649	6.20600008965
NA	fineng5606	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	SYSTEM	2551	0.577961266025922	21.632999897
NA	fineng5606	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	760	-2.73846138256133	8.4319999218
NA	fineng5606	fi	en	ad	NA	NICT.5515	NA	SYSTEM	1017	-0.205082970446068	15.4729998112
NA	fineng5606	fi	en	ad	NA	JUCBNMT.5559	NA	SYSTEM	1622	-0.527512950169828	14.728000164
NA	fineng5606	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	2049	1.72949690789649	6.77200007439
NA	fineng5606	fi	en	ad	NA	uedin.5631	NA	SYSTEM	36	0.531899840351099	33.1050000191
NA	fineng5606	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	SYSTEM	2923	0.992514097099328	15.9000000954
NA	fineng5607	fi	en	ad	NA	online-G.0	NA	SYSTEM	44	-1.45777398989662	13.6410000324
NA	fineng5607	fi	en	ad	NA	online-A.0	NA	SYSTEM	2506	-0.863310261883173	9.38199996948
NA	fineng5607	fi	en	ad	NA	CUNI-Kocmi.5619	NA	SYSTEM	2156	-0.331421663134301	11.5279998779
NA	fineng5607	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	SYSTEM	995	0.419479888040579	13.1419999599
NA	fineng5607	fi	en	ad	NA	online-B.0	NA	SYSTEM	1586	0.450767452672865	6.72999978065
NA	fineng5607	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	560	-0.206271404605154	10.2960000038
NA	fineng5607	fi	en	ad	NA	talp-upc.5423	NA	SYSTEM	660	1.5458322148029	12.2070000172
NA	fineng5607	fi	en	ad	NA	CUNI-Kocmi.5619	NA	SYSTEM	2710	-0.393996792398874	7.87900018692
NA	fineng5607	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	SYSTEM	2710	-0.393996792398874	7.87900018692
NA	fineng5607	fi	en	ad	NA	CUNI-Kocmi.5619	NA	SYSTEM	1783	0.231754500246859	17.3190000057
NA	fineng5607	fi	en	ad	NA	online-G.0	NA	BAD_REF	566	-1.42648642526433	8.82699990273
NA	fineng5607	fi	en	ad	NA	NICT.5515	NA	BAD_REF	505	-1.11361077894147	11.4449999332
NA	fineng5607	fi	en	ad	NA	online-G.0	NA	SYSTEM	1194	-0.268846533869727	13.1330001354
NA	fineng5607	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	REPEAT	1984	0.231754500246859	5.36599993706
NA	fineng5607	fi	en	ad	NA	HY-NMT-fi-en.5569	NA	REPEAT	995	-0.112408710708294	9.37800002098
NA	fineng5607	fi	en	ad	NA	CUNI-Kocmi.5619	NA	SYSTEM	2045	-0.143696275340581	7.22099995613
NA	fineng5607	fi	en	ad	NA	online-G.0	NA	SYSTEM	1745	-0.832022697250887	8.29499983788
NA	fineng5607	fi	en	ad	NA	uedin.5631	NA	SYSTEM	2595	-0.112408710708294	12.3870000839
NA	fineng5607	fi	en	ad	NA	online-A.0	NA	SYSTEM	1608	0.763643098995732	8.52600002289
